LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-122.0242185,36.9688333,201,FRONT ST,CMN-05,,,,95060,,64954e2b4e337a09
-122.0037928,36.9785027,536,FREDERICK ST,,,,,95062,,4ffe433d23c7ac8e
-122.0042694,36.9785602,541,FREDERICK ST,,,,,95062,,ae6988032cc79620
-122.0042694,36.9785602,541,FREDERICK ST,A,,,,95062,,adccc3b54b60b79a
-122.0042694,36.9785602,541,FREDERICK ST,B,,,,95062,,72a338188fab6136
-122.0038323,36.9786644,542,FREDERICK ST,,,,,95062,,dc64f671c700837b
-122.004561,36.9785986,543,FREDERICK ST,,,,,95062,,e787d1c84be733de
-122.004561,36.9785986,545,FREDERICK ST,,,,,95062,,4463df7583c3b1b2
-122.004561,36.9785986,547,FREDERICK ST,,,,,95062,,f49ee12efa117242
-122.004561,36.9785986,549,FREDERICK ST,,,,,95062,,ff6c5da96a2b20f0
-122.0242185,36.9688333,105,LAUREL ST,,,,,95060,,74ac37a6ac9cf0f2
-122.004561,36.9785986,551,FREDERICK ST,,,,,95062,,ca093e5e2e9c78b8
-122.004561,36.9785986,553,FREDERICK ST,,,,,95062,,67240fcf3d54e71e
-122.0039132,36.9792183,600,FREDERICK ST,,,,,95062,,6f0dbce50b43fe98
-122.0039132,36.9792183,602,FREDERICK ST,,,,,95062,,6b0c1b06a2a7e7d9
-122.003989,36.9794776,604,FREDERICK ST,,,,,95062,,e8396b95f28708c5
-122.003567,36.9783071,534,FREDERICK ST,,,,,95062,,d105ff8365a1f2af
-122.003989,36.9794776,606,FREDERICK ST,,,,,95062,,8a7b665051823184
-122.003989,36.9794776,608,FREDERICK ST,B,,,,95062,,083dbf6b05639f83
-122.003989,36.9794776,608,FREDERICK ST,,,,,95062,,59add5566a861a17
-122.0050272,36.9793787,609,FREDERICK ST,,,,,95062,,5d88384dd694a5a5
-122.0030331,36.9797951,610,FREDERICK ST,2DEV,,,,95062,,25a83fc8388c05a5
-122.0046762,36.978095,533,FREDERICK ST,D,,,,95062,,58b41e688ad9d565
-122.0040533,36.9798902,612,FREDERICK ST,,,,,95062,,62c9d029170bf310
-122.0039132,36.9792183,600,FREDERICK ST,B,,,,95062,,17a8a7c37432fa8c
-122.0040533,36.9798902,616,FREDERICK ST,,,,,95062,,77e2f865b952e58a
-122.0040533,36.9798902,620,FREDERICK ST,,,,,95062,,fe537afe21b11bc7
-122.0040533,36.9798902,618,FREDERICK ST,,,,,95062,,75d3fadca0649ee5
-122.0041241,36.9801816,622,FREDERICK ST,,,,,95062,,28e99745e9790494
-122.0041241,36.9801816,624,FREDERICK ST,,,,,95062,,4d92da15b886b2be
-122.0041241,36.9801816,626,FREDERICK ST,,,,,95062,,80ae8842e63f5e33
-122.003567,36.9783071,534,FREDERICK ST,1/2,,,,95062,,6e5471f169a12b8e
-122.0041241,36.9801816,628,FREDERICK ST,,,,,95062,,0e334aad70a71343
-122.0041241,36.9801816,630,FREDERICK ST,,,,,95062,,ca1f6aff7ddcea33
-122.0041241,36.9801816,632,FREDERICK ST,,,,,95062,,2ab7e689190dab8b
-122.0041241,36.9801816,634,FREDERICK ST,,,,,95062,,e2c9df9369b9fa90
-122.003567,36.9783071,534,FREDERICK ST,1/2 B,,,,95062,,27afe18bdb3b0ffd
-122.0040436,36.9803648,700,FREDERICK ST,,,,,95062,,d0c63d5358c4967f
-122.0040436,36.9803648,700,FREDERICK ST,101,,,,95062,,32ad2fd208287b56
-122.0040436,36.9803648,700,FREDERICK ST,102,,,,95062,,e333b28cdb092c1f
-122.0040436,36.9803648,700,FREDERICK ST,103,,,,95062,,800e96fa85e64d36
-122.0040436,36.9803648,700,FREDERICK ST,104,,,,95062,,6283c8c7acf6e07f
-122.0242185,36.9688333,115,LAUREL ST,,,,,95060,,b0f1a76a1806508d
-122.0040436,36.9803648,700,FREDERICK ST,201,,,,95062,,c3e3fdcc15852671
-122.0040436,36.9803648,700,FREDERICK ST,202,,,,95062,,abe82ddfddac833c
-122.0040436,36.9803648,700,FREDERICK ST,203,,,,95062,,e29dd99b21eb2c3d
-122.0040436,36.9803648,700,FREDERICK ST,301,,,,95062,,5a9ddeb613a55aee
-122.0040436,36.9803648,700,FREDERICK ST,302,,,,95062,,ccc388865145dc4a
-122.0040436,36.9803648,700,FREDERICK ST,204,,,,95062,,288277c388eea033
-122.0040436,36.9803648,700,FREDERICK ST,303B,,,,95062,,480f2cc412d55287
-122.0040436,36.9803648,700,FREDERICK ST,303C,,,,95062,,ba4dfa89310daa16
-122.0040436,36.9803648,700,FREDERICK ST,303D,,,,95062,,801a9566c41546bb
-122.0040533,36.9798902,614,FREDERICK ST,,,,,95062,,03972672df7c06f6
-122.0046989,36.9802668,705,FREDERICK ST,,,,,95062,,6e0ff042e697cc03
-122.0047983,36.9804132,709,FREDERICK ST,,,,,95062,,6f4487e096b65a3b
-122.0043105,36.9806011,706,FREDERICK ST,,,,,95062,,7cc068c37d12a85a
-122.0041119,36.9807139,708,FREDERICK ST,Cmn,,,,95062,,f6f2ca0bed9d0f52
-122.0047801,36.9805615,711,FREDERICK ST,,,,,95062,,4c0d64695ea3dc3c
-122.0048967,36.9805388,713,FREDERICK ST,,,,,95062,,e8c4020eeb22ebf7
-122.0041241,36.9801816,630,FREDERICK ST,B,,,,95062,,d508aaecc5373506
-122.0242185,36.9688333,125,LAUREL ST,,,,,95060,,e2ca1f8e67905829
-122.0043455,36.980968,718,FREDERICK ST,,,,,95062,,09ab4e5fa9aa8819
-122.0052595,36.9805685,719,FREDERICK ST,,,,,95062,,d50976f53da69158
-122.0030331,36.9797951,610,FREDERICK ST,,,,,95062,,145dde1ee0ff5ceb
-122.0052954,36.9806766,721,FREDERICK ST,,,,,95062,,f593da53abf23dd1
-122.0048547,36.9807112,725,FREDERICK ST,,,,,95062,,bc6ee55739165468
-122.0048964,36.9808927,727,FREDERICK ST,,,,,95062,,7f491e04c2af9fe9
-122.0052425,36.9804496,717,FREDERICK ST,,,,,95062,,eea29f16b1266462
-122.0050227,36.9804961,715,FREDERICK ST,,,,,95062,,df1723e27d6168f1
-122.0040436,36.9803648,700,FREDERICK ST,303,,,,95062,,0e54c53491b6eb7b
-122.0048664,36.9811261,731,FREDERICK ST,,,,,95062,,b02bfe4e8ab18d30
-122.0477329,36.9739736,204,FRIDLEY DR,,,,,95060,,06c9778a6d81e7ae
-122.0480951,36.9739221,210,FRIDLEY DR,,,,,95060,,85b0584fb2800f59
-122.0049722,36.9806943,723,FREDERICK ST,,,,,95062,,3c771a3d16986ed9
-122.048304,36.9732882,215,FRIDLEY DR,,,,,95060,,0e5f09141260bbc6
-122.048594,36.9736467,217,FRIDLEY DR,,,,,95060,,2704651d07a5d7eb
-122.0470569,36.9737414,111,FRIDLEY DR,,,,,95060,,ba10cdf619af63d1
-122.0477856,36.9735435,209,FRIDLEY DR,,,,,95060,,e709712c677620ee
-122.0480439,36.9734917,213,FRIDLEY DR,,,,,95060,,a471f11cacce01a8
-122.0471663,36.9740964,112,FRIDLEY DR,,,,,95060,,a5633ead0be74d8c
-122.0482569,36.9741241,220,FRIDLEY DR,,,,,95060,,c2f3c1830d7a6eda
-122.0490477,36.9741153,229,FRIDLEY DR,,,,,95060,,6e0e6ebb6a1fe188
-122.0488912,36.9739519,223,FRIDLEY DR,,,,,95060,,8104747c40322694
