         104484088 function calls (104183324 primitive calls) in 707.926 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.152    0.152  708.047  708.047 /Users/fkauker/Documents/code/test_data/solve.py:55(main)
        1    0.008    0.008  707.562  707.562 /Users/fkauker/Documents/code/link/link/solve/main.py:41(run_pmed)
        1   29.799   29.799  702.742  702.742 /Users/fkauker/Documents/code/link/link/solve/util.py:108(make_assi_graph)
    45825  171.642    0.004  487.011    0.011 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/topology/__init__.py:1849(shortest_path)
  7566279  184.797    0.000  184.797    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:1768(vertex)
 12611840  127.285    0.000  139.198    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:441(__getitem__)
    45826   93.884    0.002  134.400    0.003 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/topology/__init__.py:1591(shortest_distance)
    45826    0.151    0.000   28.322    0.001 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/decorators.py:1(copy_property)
91667/45831    0.924    0.000   28.172    0.001 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/decorators.py:126(wrapper)
    45826   14.114    0.000   26.347    0.001 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:2367(copy_property)
  8010627   14.080    0.000   14.080    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3250(_v_eq)
 12620111    8.829    0.000   11.919    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:405(__key_trans)
    91652    1.418    0.000    8.808    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3093(__init__)
 10514665    6.621    0.000    6.621    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:2593(is_directed)
  7512114    6.095    0.000    6.095    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3322(_edge_iter)
    91653    1.774    0.000    5.865    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:1544(__init__)
  2549863    5.826    0.000    5.826    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3256(_v_ne)
   274963    1.430    0.000    5.422    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:383(__init__)
    91656    1.763    0.000    5.257    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:2308(new_vertex_property)
   320781    1.198    0.000    4.201    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:166(_prop)
   183300    0.259    0.000    3.730    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:560(get_array)
   183300    1.601    0.000    3.471    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:582(_get_data)
  5008076    3.284    0.000    3.284    0.000 {method 'insert' of 'list' objects}
 13444982    3.272    0.000    3.272    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:548(key_type)
        1    0.356    0.356    2.745    2.745 /Users/fkauker/Documents/code/link/link/solve/util.py:334(assi_to_path)
   320781    1.365    0.000    2.491    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:393(_get_any)
    45826    0.071    0.000    2.216    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:2293(new_property)
   366621    1.002    0.000    1.888    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:208(_type_alias)
   274963    0.605    0.000    1.866    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:270(_converter)
    45825    0.120    0.000    1.719    0.000 {method 'max' of 'numpy.ndarray' objects}
   183300    0.718    0.000    1.639    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:914(__new__)
    45825    0.055    0.000    1.599    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/numpy/core/_methods.py:26(_amax)
    45825    0.108    0.000    1.569    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:662(<lambda>)
    45831    1.544    0.000    1.544    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    45825    0.818    0.000    1.461    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:615(__get_set_f_array)
   274963    0.278    0.000    1.433    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:438(__del__)
   229153    0.233    0.000    1.406    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/numpy/core/numeric.py:469(asarray)
  5056937    1.361    0.000    1.361    0.000 {method 'add' of 'set' objects}
   274963    1.225    0.000    1.359    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:428(__register_map)
274964/274963    0.384    0.000    1.261    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:231(_python_type)
   234045    1.178    0.000    1.178    0.000 {built-in method numpy.array}
   274963    1.034    0.000    1.155    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:433(__unregister_map)
   816425    0.570    0.000    1.148    0.000 {built-in method builtins.isinstance}
