         25797326 function calls (23699534 primitive calls) in 1837.393 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.016    0.016 1837.393 1837.393 /Users/fkauker/Documents/code/test_data/solve.py:55(main)
        1    0.001    0.001 1834.824 1834.824 /Users/fkauker/Documents/code/link/link/solve/main.py:133(run_nfmp)
        1    0.012    0.012 1807.612 1807.612 /Users/fkauker/Documents/code/link/link/solve/nfmp.py:12(solve)
        1    0.000    0.000 1800.519 1800.519 /Users/fkauker/Documents/code/link/link/solve/nfmp.py:80(run_mdl)
        1    0.000    0.000 1800.465 1800.465 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:3336(solve)
        1    0.000    0.000 1800.465 1800.465 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:3468(_solve_local)
        1    0.002    0.002 1800.461 1800.461 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:1388(solve)
        1    0.000    0.000 1800.118 1800.118 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/__init__.py:1081(solve)
        1    0.000    0.000 1800.118 1800.118 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_procedural.py:626(mipopt)
        1 1800.117 1800.117 1800.118 1800.118 {built-in method cplex._internal.py36_cplex1280.CPXXmipopt}
        1    0.313    0.313   25.331   25.331 /Users/fkauker/Documents/code/link/link/solve/util.py:26(geojson_to_graph)
       45    0.330    0.007   23.422    0.520 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:422(add_edges_from)
        1    0.000    0.000   22.158   22.158 /Users/fkauker/Documents/code/link/link/solve/util.py:76(<listcomp>)
       44    0.001    0.000   22.158    0.504 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/algorithms/components/connected.py:78(connected_component_subgraphs)
       43    0.000    0.000   22.099    0.514 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:864(copy)
   271595    0.246    0.000   21.620    0.000 /anaconda3/envs/link/lib/python3.6/_collections_abc.py:742(__iter__)
    33101    0.111    0.000   21.603    0.001 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:947(<genexpr>)
    49364    0.073    0.000   20.816    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:356(__iter__)
    49364   20.678    0.000   20.678    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:358(<genexpr>)
        1    0.213    0.213    7.013    7.013 /Users/fkauker/Documents/code/link/link/solve/nfmp.py:32(formulation)
    46220    0.029    0.000    3.658    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:3001(add_constraint)
    46220    0.073    0.000    3.629    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:2528(_add_constraint_internal)
    46220    0.051    0.000    3.267    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:2540(_post_constraint)
    46220    0.058    0.000    3.001    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:2419(_create_engine_constraint)
    46220    0.137    0.000    2.936    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:663(create_linear_constraint)
    46220    0.097    0.000    2.330    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:655(_make_cplex_linear_ct)
    46220    0.300    0.000    2.186    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:97(fast_add_linear)
        1    0.264    0.264    2.030    2.030 /anaconda3/envs/link/lib/python3.6/json/__init__.py:120(dump)
   873714    0.163    0.000    1.579    0.000 /anaconda3/envs/link/lib/python3.6/json/encoder.py:412(_iterencode)
2339282/873714    0.666    0.000    1.416    0.000 /anaconda3/envs/link/lib/python3.6/json/encoder.py:333(_iterencode_dict)
1183730/873706    0.385    0.000    1.239    0.000 /anaconda3/envs/link/lib/python3.6/json/encoder.py:277(_iterencode_list)
        1    0.083    0.083    1.155    1.155 /Users/fkauker/Documents/code/link/link/solve/util.py:256(create_geojson)
    46220    0.404    0.000    1.133    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_procedural.py:1052(addrows)
        1    0.000    0.000    1.113    1.113 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:953(to_directed)
417597/95585    0.432    0.000    0.921    0.000 /anaconda3/envs/link/lib/python3.6/copy.py:132(deepcopy)
    28184    0.516    0.000    0.835    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/coords.py:69(__getitem__)
        1    0.000    0.000    0.830    0.830 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multidigraph.py:864(to_undirected)
    46219    0.181    0.000    0.740    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:1336(subtract)
    95585    0.170    0.000    0.640    0.000 /anaconda3/envs/link/lib/python3.6/copy.py:236(_deepcopy_dict)
    30978    0.015    0.000    0.623    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:332(__sub__)
    30485    0.020    0.000    0.623    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:2311(sum)
    30978    0.036    0.000    0.608    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:335(minus)
    30485    0.026    0.000    0.603    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/aggregator.py:113(sum)
        1    0.108    0.108    0.596    0.596 /Users/fkauker/Documents/code/link/link/solve/util.py:81(make_prox_graph)
    46220    0.040    0.000    0.577    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/quadfact.py:129(new_xconstraint)
    30485    0.130    0.000    0.561    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/aggregator.py:132(_sum_with_iter)
    46220    0.114    0.000    0.537    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/mfactory.py:510(_new_binary_constraint)
    30979    0.077    0.000    0.516    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:1002(<genexpr>)
        1    0.000    0.000    0.467    0.467 /anaconda3/envs/link/lib/python3.6/json/__init__.py:274(load)
        1    0.000    0.000    0.460    0.460 /anaconda3/envs/link/lib/python3.6/json/__init__.py:302(loads)
        1    0.000    0.000    0.460    0.460 /anaconda3/envs/link/lib/python3.6/json/decoder.py:334(decode)
        1    0.399    0.399    0.460    0.460 /anaconda3/envs/link/lib/python3.6/json/decoder.py:345(raw_decode)
        3    0.000    0.000    0.452    0.151 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:1805(integer_var_dict)
        3    0.001    0.000    0.452    0.151 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:1552(_var_dict)
