         15881972 function calls (13785829 primitive calls) in 30.788 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.011    0.011   30.788   30.788 /Users/fkauker/Documents/code/test_data/solve.py:55(main)
        1    0.000    0.000   27.700   27.700 /Users/fkauker/Documents/code/link/link/solve/main.py:22(run_pcst)
        1    0.319    0.319   25.594   25.594 /Users/fkauker/Documents/code/link/link/solve/util.py:26(geojson_to_graph)
       45    0.342    0.008   23.766    0.528 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:422(add_edges_from)
        1    0.000    0.000   22.479   22.479 /Users/fkauker/Documents/code/link/link/solve/util.py:76(<listcomp>)
       44    0.001    0.000   22.479    0.511 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/algorithms/components/connected.py:78(connected_component_subgraphs)
       43    0.000    0.000   22.420    0.521 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:864(copy)
   271595    0.246    0.000   21.815    0.000 /anaconda3/envs/link/lib/python3.6/_collections_abc.py:742(__iter__)
    33101    0.113    0.000   21.802    0.001 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:947(<genexpr>)
    49364    0.077    0.000   21.120    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:356(__iter__)
    49364   20.978    0.000   20.978    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:358(<genexpr>)
        1    0.252    0.252    1.966    1.966 /anaconda3/envs/link/lib/python3.6/json/__init__.py:120(dump)
   872998    0.157    0.000    1.537    0.000 /anaconda3/envs/link/lib/python3.6/json/encoder.py:412(_iterencode)
2337364/872998    0.653    0.000    1.379    0.000 /anaconda3/envs/link/lib/python3.6/json/encoder.py:333(_iterencode_dict)
1182754/872990    0.375    0.000    1.209    0.000 /anaconda3/envs/link/lib/python3.6/json/encoder.py:277(_iterencode_list)
        1    0.000    0.000    1.102    1.102 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:953(to_directed)
        1    0.000    0.000    1.071    1.071 /anaconda3/envs/link/lib/python3.6/json/__init__.py:274(load)
        1    0.000    0.000    1.064    1.064 /anaconda3/envs/link/lib/python3.6/json/__init__.py:302(loads)
        1    0.000    0.000    1.064    1.064 /anaconda3/envs/link/lib/python3.6/json/decoder.py:334(decode)
        1    0.898    0.898    1.064    1.064 /anaconda3/envs/link/lib/python3.6/json/decoder.py:345(raw_decode)
417597/95585    0.428    0.000    0.915    0.000 /anaconda3/envs/link/lib/python3.6/copy.py:132(deepcopy)
        1    0.000    0.000    0.839    0.839 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multidigraph.py:864(to_undirected)
        1    0.065    0.065    0.745    0.745 /Users/fkauker/Documents/code/link/link/solve/util.py:256(create_geojson)
    95585    0.173    0.000    0.632    0.000 /anaconda3/envs/link/lib/python3.6/copy.py:236(_deepcopy_dict)
        1    0.103    0.103    0.625    0.625 /Users/fkauker/Documents/code/link/link/solve/util.py:81(make_prox_graph)
