         57782067 function calls (56483181 primitive calls) in 142.503 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.046    0.046  142.509  142.509 /Users/fkauker/Documents/code/test_data/solve.py:55(main)
        1    0.091    0.091  141.078  141.078 /Users/fkauker/Documents/code/link/link/solve/main.py:41(run_pmed)
        1    2.946    2.946   99.079   99.079 /Users/fkauker/Documents/code/link/link/solve/util.py:108(make_assi_graph)
     4815   21.966    0.005   57.836    0.012 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/topology/__init__.py:1849(shortest_path)
  1447884   25.313    0.000   25.313    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:1768(vertex)
        1    3.018    3.018   24.638   24.638 /Users/fkauker/Documents/code/link/link/solve/util.py:334(assi_to_path)
     4816   20.958    0.004   23.689    0.005 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/topology/__init__.py:1591(shortest_distance)
  2337665   17.150    0.000   18.701    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:441(__getitem__)
        1    0.241    0.241   14.359   14.359 /Users/fkauker/Documents/code/link/link/solve/util.py:26(geojson_to_graph)
       45    0.238    0.005   13.016    0.289 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:422(add_edges_from)
        1    0.000    0.000   12.051   12.051 /Users/fkauker/Documents/code/link/link/solve/util.py:76(<listcomp>)
       44    0.001    0.000   12.051    0.274 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/algorithms/components/connected.py:78(connected_component_subgraphs)
       43    0.000    0.000   12.008    0.279 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:864(copy)
   201299    0.170    0.000   11.664    0.000 /anaconda3/envs/link/lib/python3.6/_collections_abc.py:742(__iter__)
    24461    0.077    0.000   11.654    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:947(<genexpr>)
    36404    0.050    0.000   11.187    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:356(__iter__)
    36404   11.093    0.000   11.093    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:358(<genexpr>)
   971560    4.729    0.000   10.433    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/coords.py:69(__getitem__)
   971560    0.939    0.000    5.791    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/base.py:320(_get_coords)
   971560    1.578    0.000    4.627    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/base.py:640(is_empty)
   971560    1.866    0.000    3.552    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/coords.py:48(__len__)
   494840    0.371    0.000    3.436    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/linestring.py:29(__init__)
  1943120    3.011    0.000    3.288    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/coords.py:44(_update)
   494840    0.536    0.000    3.065    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/linestring.py:95(_set_coords)
   971560    1.824    0.000    2.648    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/predicates.py:23(__call__)
   470422    0.733    0.000    2.423    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/graph.py:823(add_edge)
        1    0.157    0.157    2.295    2.295 /Users/fkauker/Documents/code/link/link/solve/nx2gt.py:35(nx2gt)
        1    0.069    0.069    2.197    2.197 /Users/fkauker/Documents/code/link/link/solve/util.py:301(make_o_graph)
     4816    0.008    0.000    2.052    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/decorators.py:1(copy_property)
9647/4821    0.053    0.000    2.044    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/decorators.py:126(wrapper)
     4816    1.175    0.000    1.934    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:2367(copy_property)
  1665883    1.877    0.000    1.877    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3250(_v_eq)
   494840    1.410    0.000    1.788    0.000 {shapely.speedups._speedups.geos_linestring_from_py}
   850985    0.531    0.000    1.683    0.000 {method 'update' of 'dict' objects}
  2381735    1.113    0.000    1.582    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:405(__key_trans)
    23124    0.536    0.000    1.391    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:2049(add_edge)
  1527243    1.314    0.000    1.314    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/base.py:222(empty)
   493991    0.284    0.000    1.231    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/base.py:233(__del__)
        1    0.145    0.145    1.136    1.136 /anaconda3/envs/link/lib/python3.6/json/__init__.py:120(dump)
     4815    0.010    0.000    1.022    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/indexing.py:1463(__getitem__)
     4815    0.022    0.000    1.009    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/indexing.py:1854(_getitem_axis)
  1080421    0.757    0.000    1.007    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/graph.py:628(nodes)
   504346    0.090    0.000    0.889    0.000 /anaconda3/envs/link/lib/python3.6/json/encoder.py:412(_iterencode)
     9636    0.077    0.000    0.806    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/series.py:166(__init__)
1350328/504346    0.375    0.000    0.799    0.000 /anaconda3/envs/link/lib/python3.6/json/encoder.py:333(_iterencode_dict)
  2131490    0.771    0.000    0.771    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:2593(is_directed)
     4815    0.007    0.000    0.764    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/indexing.py:124(_get_label)
        1    0.000    0.000    0.762    0.762 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:953(to_directed)
     4815    0.050    0.000    0.756    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/generic.py:2893(xs)
  4862616    0.737    0.000    0.737    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/base.py:253(_geom)
683290/504338    0.219    0.000    0.701    0.000 /anaconda3/envs/link/lib/python3.6/json/encoder.py:277(_iterencode_list)
        1    0.000    0.000    0.684    0.684 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multidigraph.py:864(to_undirected)
296554/70844    0.301    0.000    0.651    0.000 /anaconda3/envs/link/lib/python3.6/copy.py:132(deepcopy)
  1396821    0.648    0.000    0.648    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3322(_edge_iter)
   516626    0.407    0.000    0.579    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/base.py:257(_geom)
   470422    0.571    0.000    0.571    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3256(_v_ne)
   971560    0.408    0.000    0.547    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/topology.py:16(_validate)
  2166391    0.411    0.000    0.546    0.000 {built-in method builtins.isinstance}
     9632    0.084    0.000    0.529    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3093(__init__)
  2468426    0.486    0.000    0.486    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:548(key_type)
        1    0.039    0.039    0.478    0.478 /Users/fkauker/Documents/code/link/link/solve/util.py:256(create_geojson)
    70844    0.124    0.000    0.445    0.000 /anaconda3/envs/link/lib/python3.6/copy.py:236(_deepcopy_dict)
    70666    0.161    0.000    0.412    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multidigraph.py:337(add_edge)
  2930948    0.403    0.000    0.403    0.000 {built-in method _ctypes.byref}
    44070    0.368    0.000    0.399    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:459(__setitem__)
     9644    0.042    0.000    0.365    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/series.py:4019(_sanitize_array)
        1    0.054    0.054    0.355    0.355 /Users/fkauker/Documents/code/link/link/solve/util.py:81(make_prox_graph)
    23125    0.052    0.000    0.353    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:1002(<genexpr>)
     9633    0.107    0.000    0.351    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:1544(__init__)
   931214    0.340    0.000    0.340    0.000 {method 'insert' of 'list' objects}
    28903    0.090    0.000    0.327    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:383(__init__)
    14445    0.029    0.000    0.305    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/series.py:764(__getitem__)
     9636    0.093    0.000    0.301    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:2308(new_vertex_property)
    33711    0.081    0.000    0.285    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:166(_prop)
     4816    0.010    0.000    0.274    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/frame.py:730(iterrows)
    71960    0.073    0.000    0.269    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/graph.py:416(__getitem__)
    14445    0.048    0.000    0.266    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/indexes/base.py:3090(get_value)
     9638    0.016    0.000    0.263    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/series.py:4036(_try_cast)
       44    0.049    0.001    0.252    0.006 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/graph.py:487(add_nodes_from)
  1080421    0.250    0.000    0.250    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/reportviews.py:167(__init__)
    21786    0.023    0.000    0.240    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/point.py:37(__init__)
    47542    0.237    0.000    0.237    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:302(new_edge_key)
   971560    0.225    0.000    0.225    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/coords.py:41(__init__)
  1080410    0.223    0.000    0.223    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/reportviews.py:177(__getitem__)
        1    0.000    0.000    0.222    0.222 /Users/fkauker/Documents/code/link/link/solve/util.py:176(make_tb_objects)
    11314    0.219    0.000    0.219    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:1948(add_vertex)
  1219151    0.214    0.000    0.214    0.000 {method 'get' of 'dict' objects}
    21786    0.034    0.000    0.214    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/point.py:127(_set_coords)
    24419    0.030    0.000    0.213    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multidigraph.py:928(<genexpr>)
