         989996988 function calls (988528182 primitive calls) in 5748.014 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    2.929    2.929 5748.384 5748.384 /Users/fkauker/Documents/code/test_data/solve.py:54(main)
        1    0.077    0.077 5743.138 5743.138 /Users/fkauker/Documents/code/link/link/solve/main.py:112(run_spamp)
        1  177.942  177.942 4801.428 4801.428 /Users/fkauker/Documents/code/link/link/solve/util.py:108(make_assi_graph)
   221490 1257.363    0.006 3235.997    0.015 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/topology/__init__.py:1849(shortest_path)
 76597065 1383.231    0.000 1383.231    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:1768(vertex)
127658525  950.258    0.000 1033.280    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:441(__getitem__)
        1    0.015    0.015  901.259  901.259 /Users/fkauker/Documents/code/link/link/solve/spamp.py:13(solve)
        1    0.000    0.000  894.013  894.013 /Users/fkauker/Documents/code/link/link/solve/spamp.py:71(run_mdl)
        1    0.000    0.000  893.721  893.721 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:3336(solve)
        1    0.000    0.000  893.721  893.721 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:3468(_solve_local)
        1    0.008    0.008  893.717  893.717 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:1388(solve)
        1    0.000    0.000  893.006  893.006 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/__init__.py:1081(solve)
        1    0.000    0.000  893.006  893.006 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_procedural.py:626(mipopt)
        1  893.004  893.004  893.005  893.005 {built-in method cplex._internal.py36_cplex1280.CPXXmipopt}
   221491  527.632    0.002  671.940    0.003 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/topology/__init__.py:1591(shortest_distance)
 83197533  105.191    0.000  105.191    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3250(_v_eq)
   221491    0.543    0.000  103.669    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/decorators.py:1(copy_property)
442997/221496    2.915    0.000  103.126    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/decorators.py:126(wrapper)
   221491   56.867    0.000   97.237    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:2367(copy_property)
127702685   60.307    0.000   83.048    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:405(__key_trans)
