Method,500,1000,5000,10000
sp_1,0.032,0.007,0.017,0.019
sp_2,0.032,0.008,0.013,0.020
sp_3,0.042,0.013,0.014,0.026
pmed_1,0.062,0.027,0.106,0.338
pmed_2,0.098,0.027,0.110,0.351
pmed_3,0.052,0.037,0.240,0.245
pcst_1,0.031,0.065,0.449,0.679
pcst_2,0.038,0.050,0.303,0.469
pcst_3,0.037,0.095,0.288,0.462
nfmp_1,10.320,25.879,1806.070,1807.970
nfmp_2,10.083,36.857,1805.612,1807.698
nfmp_3,7.545,35.568,1805.957,1807.612
spamp_1,20.719,84.132,901.259,1714.300
spamp_2,17.395,66.353,928.602,1428.733
spamp_3,30.118,109.177,1115.732,1732.005
